"determinand_id","determinand_desc","definition","unit_of_measure","unit_of_measure_desc"
8672,"26DNOPHENOL","2,6-Dinitrophenol","ug/l","MICROGRAM PER LITRE"
9046,"2,6diNphenol","2,6-Dinitrophenol : Load","kg/d","KILOGRAM PER DAY"
3782,"o-m-p-Xylene","Dimethylbenzene : Sum of isomers (1,2- 1,3- 1,4-) :- {Xylene}","ug/l","MICROGRAM PER LITRE"
9088,"cpH5 CH3COOH","Acidity to pH 5.0 as CH3COOH","mg/l","MILLIGRAM PER LITRE"
9087,"cpH8 H3PO4","Acidity to pH 8.0 as H3PO4","mg/l","MILLIGRAM PER LITRE"
3530,"Salm MPN","Salmonella : Enumeration : MPN : Wet Wt","no/g","NUMBER PER GRAM"
8113,"E.Coli Pres","Escherichia coli : Presumptive : CFU","no/g","NUMBER PER GRAM"
5730,"No Visit","No visit. Sample not collected within planned and catch-up date range.","yes/no","YES(1) OR NO(0)"
7697,"STYRENE DW","Styrene : Dry Wt :- {Vinylbenzene}","mg/kg","MILLIGRAM PER KILOGRAM"
8947,"EtOEthanol","Ethylene glycol monoethyl ether :- {Ethoxyethanol}","% w/w","Percent Wt/Wt"
8935,"Vanadium","Vanadium : Load","kg/d","KILOGRAM PER DAY"
8481,"Alk12 NA2CO3","Alkalinity to pH 12 as Na2CO3","mg/l","MILLIGRAM PER LITRE"
3948,"Bupirimate","Bupirimate","ng/l","NANOGRAM PER LITRE"
8958,"Ammonia","Ammonia","l/kg/h","Litres per kilogram per hour"
8956,"Hydrogen","Hydrogen","l/kg/h","Litres per kilogram per hour"
8957,"Methane","Methane","l/kg/h","Litres per kilogram per hour"
8959,"H Sulphide","Hydrogen Sulphide","l/kg/h","Litres per kilogram per hour"
5092,"NH3","Ammoniacal Nitrogen as N","kg/wk","Kilograms per week"
7923,"Pyrene DW","Pyrene : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8323,"AcenthyneDW","Acenaphthylene : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8327,"FluoranthDW","Fluoranthene : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
3464,"Microx 30min","Microtox, 30 Minutes : EC50","%","PERCENTAGE"
7429,"MTX30L","Microtox, 30 Minutes : EC50 Lower 95% confidence limit","%","PERCENTAGE"
7430,"MTX30U","Microtox, 30 Minutes : EC50 Upper 95% confidence limit","%","PERCENTAGE"
78,"O2 in Air- %","Oxygen : % as O2","%","PERCENTAGE"
5030,"Li Lch DW","Lithium, Leachable : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5506,"NH4 Ext DW","Ammoniacal Nitrogen, 2M KCl extractable : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6499,"DistBullnose","Distance from bullnose in miles","m","METRE"
4832,"Cu BS388 DW","Copper  (BS 3882) : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4763,"Stone >20-50","Stone Fraction 20 - 50mm : Dry Wt","%","PERCENTAGE"
4764,"Stones >2-20","Stone Fraction 2 - 20mm : Dry Wt","%","PERCENTAGE"
4834,"Ni BS388 DW","Nickel (BS 3882) : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4835,"C Org WB DW","Carbon, Organic Walkley-Black : Dry Wt","%","PERCENTAGE"
5016,"Ca Ext DW","Calcium, 1M NH4NO3 extractable : Dry Wt","mg/l","MILLIGRAM PER LITRE"
4972,"Stones >50mm","Stone size > 50mm","%","PERCENTAGE"
4831,"Zn BS3882 DW","Zinc : (BS 3882) : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5011,"Na Exch","Exchangeable Sodium Percentage, BS3882 :1994 : Dry Wt : {ESP}","%","PERCENTAGE"
4324,"Fenoprop DW","Fenoprop : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
4325,"24DP DW","Dichlorprop : Dry Wt :- {2,4-DP}","ug/kg","MICROGRAM PER KILOGRAM"
4326,"24D DW","2,4-D : Dry Wt :- {2,4-dichlorophenoxyacetic acid}","ug/kg","MICROGRAM PER KILOGRAM"
4327,"MCPA DWW","MCPA :- {4-Chloro-2-methylphenoxyacetic acid} : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
4328,"MCPB DW","MCPB :- {4-Chloro-2-methylphenoxybutyric acid} : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
6740,"1Napthol DWt","1-Naphthol : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5366,"2iPrpPhenDW","2-isopropylphenol : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5367,"235MePhen DW","2,3,5-Trimethylphenol : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5368,"Tot MePhnlDW","Methylphenol : Dry Wt : {Cresol}","mg/kg","MILLIGRAM PER KILOGRAM"
5369,"Catechol DW","Catechol : Dry Wt :- {1,2-Dihydroxybenzene}","mg/kg","MILLIGRAM PER KILOGRAM"
5281,"Tot DiMePhDW","Dimethylphenol : Sum of (2,3- 2,4- and 2,5-) : Dry Wt : {Xylenol}","mg/kg","MILLIGRAM PER KILOGRAM"
427,"Ni- Filtered","Nickel, Dissolved","mg/l","MILLIGRAM PER LITRE"
4162,"Temp-ve in-s","Temperature : In Situ as Negative","cel","CELSIUS"
7304,"O Xylene WW","1,2-Dimethylbenzene : Wet Wt :- {o-Xylene}","ug/kg","MICROGRAM PER KILOGRAM"
5066,"Ni 8:1 S2 D","Nickel, L/S 8:1 : 12457-3 Stage 2 : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6210,"Goera pilosa","Goera pilosa","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7114,"OBB","Octabromobiphenyl","ug/l","MICROGRAM PER LITRE"
8018,"Met Grp 63","Metals : Total ( Cu Pb ) : Group 63","mg/l","MILLIGRAM PER LITRE"
5998,"DiEtEtherDW","Diethyl Ether : Dry Wt","% w/w","Percent Wt/Wt"
6952,"Diuron WWt","Diuron : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7856,"4Cl3MePhenol","4-Chloro-3-methylphenol :- {p-Chloro-m-cresol}","ng/l","NANOGRAM PER LITRE"
6762,"CTru200%@400","Colour, true at 400 nm : 200% Dilution","abs/m","ABSORBANCE PER METRE"
1933,"Gomphonema","Gomphonema","no/ml","NUMBER PER MILLILITRE"
9904,"Wt Ratio D:W","Weight Ratio (One whole organism) : Dry/Wet","unitless","UNITLESS VALUE"
7666,"4Cl2MePhenol","4-Chloro-2-methylphenol :- {p-Chloro-o-cresol}","ng/l","NANOGRAM PER LITRE"
599,"PCBs DWt","PCB : Total : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8810,"K40 COUNT","Potassium K-40, Radiometric count : Wet Wt","bq/kg","BECQUERELS PER KILOGRAM"
9714,"1112TetClEtD","1,1,1,2-Tetrachloroethane : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6382,"NH3 un-i F","Ammonia un-ionised, Freshwater as N","mg/l","MILLIGRAM PER LITRE"
7286,"METHANOL WW","Methanol : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6192,"Hydropsych-c","Hydropsyche contubernalis","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
3601,"Anthracene","Anthracene","ug/m3","Micrograms per cubic metre"
9334,"CarbonTetLLd","Carbon tetrachloride : Low Load :- {Tetrachloromethane}","kg/tide","KILOGRAMS PER TIDE"
7096,"GSF112.8-84.","Grain Size Fraction : 112.8 to 84.3 microns","%","PERCENTAGE"
4505,"DBeFuran LD","Dibenzofuran, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
3411,"Dummy Det F","Dummy determinand for formal samples","unitless","UNITLESS VALUE"
5409,"Emamectin","Emamectin","ug/l","MICROGRAM PER LITRE"
9144,"Ca Filtered","Calcium, Filtered","mg/l","MILLIGRAM PER LITRE"
4315,"2356ClThiALD","2,3,5,6-Tetrachlorothioanisole, Leachable :Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
3221,"Oxychlordane","Oxy-Chlordane","ug/l","MICROGRAM PER LITRE"
4125,"POCIS Prep","POCIS Preparation","unitless","UNITLESS VALUE"
3031,"PFHpA ww","Perfluoroheptanoic acid : wet wt","ug/kg","MICROGRAM PER KILOGRAM"
5029,"Sr Lch DW","Strontium, Leachable : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8982,"Amosite","OBSOLETE : AMOSITE duplicate of det 8474","pres/nf","PRESENT/NOT FOUND"
9886,"NitriteM7DyE","Nitrite : Total moving 7 day emissions as N","t/ann","TONNES PER ANNUM"
8792,"SI-NMSFT","Suite Indicator : NMSFT","unitless","UNITLESS VALUE"
4867,"B-G Algae","Blue-Green Algae :- {Cyanobacteria}","no/ml","NUMBER PER MILLILITRE"
3773,"Monitor Inop","Period of Monitor Inoperation","h (dec)","Hours (Decimal)"
6915,"Dichlorprop","Dichlorprop :- {2,4-DP}","ng/l","NANOGRAM PER LITRE"
4677,"2-Hexanol","2-Hexanol","ug/m3","Micrograms per cubic metre"
5821,"FenprpmrphLW","Fenpropimorph, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7819,"Cl orgs Gp1","Chloro organics : Group 1","ug/l","MICROGRAM PER LITRE"
3583,"Cyanide Free","Cyanide : Free as CN","mg/m3","Milligrams per cubic metre"
6725,"ETHYL METHAC","Ethyl Methacrylate","mg/l","MILLIGRAM PER LITRE"
4487,"HxClCyPD L","Hexachlorocyclopentadiene, Leachable","ug/l","MICROGRAM PER LITRE"
5631,"iPropBenz L","Isopropylbenzene, Leachable","ug/l","MICROGRAM PER LITRE"
3393,"ChromiumLoad","Chromium : Total load","kg/d","KILOGRAM PER DAY"
6535,"1,1,2 -TRICH","1,1,2-Trichlorotrifluoroethane","ug/l","MICROGRAM PER LITRE"
4297,"cChlordane L","cis-Chlordane, Leachable","ug/l","MICROGRAM PER LITRE"
7439,"GALAXOLIDE","Galaxolide","ug/l","MICROGRAM PER LITRE"
5441,"Streptomy DW","Streptomycin : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
6345,"Gordioidea","Gordioidea","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7249,"DMM wwt","Dimethoxymethane : Wet Wt :- {Dimethoxylmethane}","ug/kg","MICROGRAM PER KILOGRAM"
5251,"MTBE Leach","MTBE, Leachable :- {Methyl tert-butyl ether}","ug/l","MICROGRAM PER LITRE"
6155,"Ephemera-dan","Ephemera danica","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7059,"Trihalometha","Trihalomethanes with Chlorine : Total","ug/l","MICROGRAM PER LITRE"
5061,"Sb 8:1 S2 D","Antimony, L/S 8:1 : 12457-3 Stage 2 : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
232,"Be - Partic","Beryllium, Particulate","mg/l","MILLIGRAM PER LITRE"
1136,"Staurastrum","Staurastrum","no/ml","NUMBER PER MILLILITRE"
9107,"Flo24HrWDy07","Flow : Total to works, 24 Hour : Day 07","ml","MEGALITRE"
42,"Flow Mean Yr","Flow : Annual mean","ml/d","MEGALITRE PER DAY"
8013,"Met Grp 58","Metals : Total ( Au Cd Cr Cu Ni Pb Zn ) : Group 58","mg/l","MILLIGRAM PER LITRE"
5993,"Nitcellulose","Nitrocellulose :- {NC}","ug/l","MICROGRAM PER LITRE"
8945,"2F Aniline","2-Fluoroaniline","% w/w","Percent Wt/Wt"
9849,"Simazine DWt","Simazine : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
3926,"RedoxPot -ve","Redox Potential : In Situ as negative","mv","MILLIVOLT"
9659,"Americium241","Americium Am-241","bq/kg","BECQUERELS PER KILOGRAM"
8565,"Mn DWT","Manganese : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
7471,"phi 10-10.5","Grain Size Fraction : phi 10 to 10.5","%","PERCENTAGE"
9469,"TriEtamine","Triethylamine","% v/v","Percent  vol/vol"
8375,"MevinphosWW","Mevinphos : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7281,"m Xylene DW","1,3-Dimethylbenzene : Dry Wt :- {m-Xylene}","ug/kg","MICROGRAM PER KILOGRAM"
9279,"TBBPA","Tetrabromobisphenol-A","ug/l","MICROGRAM PER LITRE"
3356,"Spills BW","Spills during bathing season - 12:24 counting methodology","no.","NUMBER"
7091,"ChlopyrfsWWt","Chlorpyrifos : Wet Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4500,"Disc Wtr Mic","Discoloured water microscopy","pres/nf","PRESENT/NOT FOUND"
5404,"Fenbendazole","Fenbendazole","ug/l","MICROGRAM PER LITRE"
3166,"Cn - Load","Cyanide : Load","kg/ann","KILOGRAM PER ANNUM"
6308,"Valvata Sp.","Valvata sp.","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
4310,"Atrz desis L","Atrazine-desisopropyl, eachable :- {Atrazine de-isopropyl}","ug/l","MICROGRAM PER LITRE"
6118,"Chlorperl-tr","Chloroperla tripunctata","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
5024,"Giardia Rep","Giardia : Report","text","Text Result"
5766,"3MePhenol LW","3-Methylphenol, Leachable : Wet Wt :- {m-Cresol}","ug/kg","MICROGRAM PER KILOGRAM"
6910,"Isoproturon","Isoproturon","ng/l","NANOGRAM PER LITRE"
8908,"PCB 187 WW","PCB - 187 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
4672,"Isopropene","Isopropene","ug/m3","Micrograms per cubic metre"
7814,"Met Grp 97","Metals : Total ( As Cr Cu Hg Ni Pb ) : Group 97","mg/l","MILLIGRAM PER LITRE"
5576,"135ClBenz L","1,3,5-Trichlorobenzene, Leachable","ug/l","MICROGRAM PER LITRE"
8718,"SI-RESMIN","Suite Indicator : RESMIN","unitless","UNITLESS VALUE"
4482,"Isophoron L","Isophorone, Leachable","ug/l","MICROGRAM PER LITRE"
7624,"MethanalUD","Formaldehyde, Undistilled :- {Methanal}","mg/l","MILLIGRAM PER LITRE"
5386,"AzinphosMeDW","Azinphos-methyl : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
557,"PP TDE Filt","TDE -pp, Dissolved","ug/l","MICROGRAM PER LITRE"
4292,"Coumaphos L","Coumaphos, Leachable","ug/l","MICROGRAM PER LITRE"
2605,"Enterobius-v","Enterobius vermicularis :- {Nematode}","no/l","NUMBER PER LITRE"
6340,"Phagocata-vi","Phagocata vitta","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
8338,"Zr","Zirconium","ug/l","MICROGRAM PER LITRE"
3509,"PCB 169","PCB - 169","ug/m3","Micrograms per cubic metre"
7244,"Dets AnionDW","Detergents, Anionic : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8148,"Cr HF Dig DW","Chromium : HF Digest : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6150,"Habrophleb-f","Habrophlebia fusca","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
3319,"Malathion","Malathion","ng/l","NANOGRAM PER LITRE"
3129,"Azithromycin","Azithromycin","ng/l","NANOGRAM PER LITRE"
1131,"Peridinium","Peridinium","no/ml","NUMBER PER MILLILITRE"
9102,"Flo24HrWDy02","Flow : Total to works, 24 Hour : Day 02","ml","MEGALITRE"
7986,"Met Grp 31","Metals : Total ( Ag Cr Cu Ni Pb ) : Group 31","ug/l","MICROGRAM PER LITRE"
6892,"02 DemandEff","Effective Oxygen Demand :- {EOD}","mg/l","MILLIGRAM PER LITRE"
7796,"Met Grp 90","Metals : Total ( Ag As Ba Cd Cu Hg Pb Se Sn Zn ) : Group 90","mg/l","MILLIGRAM PER LITRE"
5919,"ORGANO-TIN P","Preparation : Organo Tin","unitless","UNITLESS VALUE"
3731,"Noro GI CN","Norovirus Genogroup I Gene copy number","c no/l","Gene Copy Numbers / litre"
9464,"Dichlrt30DHd","Dichloroethane : High load - 30 days","kg/30d","KILOGRAM/30 DAY"
3351,"Misc ID Add1","Miscellaneous Identification : Additional 1","text","Text Result"
5349,"2-NAnilineDW","2-Nitroaniline : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6303,"Erpobdellida","Erpobdellidae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7207,"Met Grp 95","Metals : Total ( As Cd Cr Cu Ni Pb ) : Group 95","ug/l","MICROGRAM PER LITRE"
6113,"Dinocras-cep","Dinocras cephalotes","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7017,"A O X","Adsorbable Organic Halides :- {A.O.X.}","ug/l","MICROGRAM PER LITRE"
4997,"Chryse C1","C1 Chrysene","ng/l","NANOGRAM PER LITRE"
7949,"Disulfoton L","Disulfoton : Low level","ug/l","MICROGRAM PER LITRE"
6855,"Taste Qualtv","Taste : Qualitative","pres/nf","PRESENT/NOT FOUND"
5761,"246ClPhen LW","2,4,6-Trichlorophenol, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7759,"Pet Ext Matt","Substances Extractable by Petroleum ether","mg/l","MILLIGRAM PER LITRE"
8903,"PCB 44 WW","PCB - 044 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
5571,"EcoliSurface","Escherichia coli : Surface","no/ml","NUMBER PER MILLILITRE"
7569,"DINITROCAPRY","DNCP :- {Di-nitrocapryl phenol}","ug/l","MICROGRAM PER LITRE"
8713,"Perylene","Perylene","ng/l","NANOGRAM PER LITRE"
6475,"Cr - M7DyE","Chromium : Total moving 7 day emissions","t/ann","TONNES PER ANNUM"
9617,"Pb Settled","Lead, Settled","mg/l","MILLIGRAM PER LITRE"
5381,"TriadimefonD","Triadimefon : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8523,"BUTACETATE","1-Butyl acetate :- {n-Butyl ethanoate}","ug/m3","Micrograms per cubic metre"
6285,"Sialis Sp.","Sialis sp.","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7189,"SULFATE GF/C","Sulphate, GF/C Filtered as SO4","mg/l","MILLIGRAM PER LITRE"
9427,"Rain24HrDy27","Rainfall : Total daily, 24 Hour : Day 27","mm","MILLIMETRE"
8333,"B[ghi]perDW","Benzo(g,h,i)Perylene : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6095,"Leuctridae","Leuctridae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
3504,"Perylene","Perylene","ug/m3","Micrograms per cubic metre"
9237,"Hg 52wkRollT","Mercury : Total : 52 week rolling total load","kg/ann","KILOGRAM PER ANNUM"
8143,"4Cl2NitTolDW","4-Chloro-2-nitrotoluene : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
9047,"1,2-Dichloro","1,2-Dichloroethane : Total moving 7 day emissions","t/ann","TONNES PER ANNUM"
4218,"Metazachlr L","Metazachlor, Leachable","ug/l","MICROGRAM PER LITRE"
4028,"Cu in-sPalin","Copper : In Situ Palin test","mg/l","MILLIGRAM PER LITRE"
7981,"Met Grp 26","Metals : Total ( Cd Cr Cu Ni Pb Sn Zn ), Dissolved : Gp 26","ug/l","MICROGRAM PER LITRE"
8885,"SomColiPhage","Coliphage : Somatic","pfu/0.1l","PLAQUE FORMING UNITS PER 100ML"
9789,"OptDens@550U","Optical Density at 550 nm, Unfiltered","abs/cm","ABSORPTION PER CENTIMETRE"
7791,"Calc Val 4","OBSOLETE : SAME DET AS 7789 - THUS NOT USED","ug/l","MICROGRAM PER LITRE"
5914,"BIOTA METALS","Preparation : Metals, Biota","unitless","UNITLESS VALUE"
3676,"B-G Algae","Blue-Green Algae: (Cyanobacteria)","pres/nf","PRESENT/NOT FOUND"
3296,"DDT (OP')","DDT -op","ng/l","NANOGRAM PER LITRE"
6438,"Epithemia","Epithemia","pres/nf","PRESENT/NOT FOUND"
705,"SulcofurNaWw","Sulcofuron : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
5344,"4ClPhPhEthrD","4-Chlorophenyl phenyl ether : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
515,"CS2","Dithiocarbamate as CS2","ug/l","MICROGRAM PER LITRE"
6248,"Simuliidae","Simuliidae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
5154,"TetPhResDIPO","Tetraphenyl resorcinol diphosphate","ug/l","MICROGRAM PER LITRE"
1039,"135TriMeBenz","1,3,5-Trimethylbenzene :- {Mesitylene}","mg/l","MILLIGRAM PER LITRE"
7012,"NOxidDynLoad","Nitrogen, Total Oxidised : Dynamic load as N","t","TONNE"
6660,"Naphthalene","Naphthalene","mg/l","MILLIGRAM PER LITRE"
8658,"Diphenyl tin","Diphenyl Tin","ug/l","MICROGRAM PER LITRE"
7564,"DiBut Tin DW","Dibutyl Tin : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6470,"OptDens@670U","Optical Density at 670 nm, Unfiltered","abs/cm","ABSORPTION PER CENTIMETRE"
9612,"SecButBenzDW","sec-Butylbenzene : Dry Wt :- {1-Methylpropylbenzene}","mg/kg","MILLIGRAM PER KILOGRAM"
7374,"AMMONIA","Ammonia","ppm","PARTS PER MILLION"
6280,"Notonecta Sp","Notonecta sp.","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
9422,"Rain24HrDy22","Rainfall : Total daily, 24 Hour : Day 22","mm","MILLIMETRE"
6090,"Nemurella pi","Nemurella picteti","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
3259,"PBDE 17 DW","2,2',4-Tribromodiphenyl ether : Dry Wt :- {PBDE 17}","ug/kg","MICROGRAM PER KILOGRAM"
9232,"NO3 Load","Nitrate : Total load as NO3","kg/hr","Kilograms per hour"
4403,"ColfmTot P10","Coliforms, Total : 3 Days, 36-38C : Presumptive : in 10 ml","pres/nf","PRESENT/NOT FOUND"
3069,"WCCrDNA P:NF","White-clawed crayfish (Austropotamobius pallipes) DNA: Present/NF","pres/nf","PRESENT/NOT FOUND"
1071,"Chlorobenzen","Chlorobenzene","mg/l","MILLIGRAM PER LITRE"
5307,"DisulfotonDW","Disulfoton : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
4213,"Para-ethyl L","Parathion Ethyl, Leachable","ug/l","MICROGRAM PER LITRE"
9784,"OptDens@500U","Optical Density at 500 nm, Unfiltered","abs/cm","ABSORPTION PER CENTIMETRE"
4955,"Al - Partic","Aluminium, Particulate","ug/l","MICROGRAM PER LITRE"
8690,"3,4-Xylenol","3,4-Dimethylphenol :- {3,4-Xylenol}","ng/l","NANOGRAM PER LITRE"
5859,"T. Coliphage","Coliphage : Total","pfu/l","PLAQUE FORMING UNITS PER L"
3861,"Tphenylene W","Triphenylene : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9594,"Decapol","Poly-electrolyte : Residual as Decapol","mg/l","MILLIGRAM PER LITRE"
5669,"26MePhn Lch","2,6-Dimethylphenol, Leachable","ug/l","MICROGRAM PER LITRE"
7907,"CHLOR A","Chlorophyll : Fluorimeter","ug/l","MICROGRAM PER LITRE"
6813,"IFaeces Btwn","Intact faeces, Strandline to waters edge : Scale 0-3","garber c","GARBER Survey Assessment Scale Code"
3481,"TWA - SPMD","Time Weighted Averages - SPMD Passive Sampling","text","Text Result"
5479,"DiBahAnthrLW","Dibenzo(a,h)Anthracene, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6623,"ColonialGrns","Colonial Greens","no/ml","NUMBER PER MILLILITRE"
7527,"BOD 8d Filt","BOD : 8 Day ATU, Filtered","mg/l","MILLIGRAM PER LITRE"
3291,"Cypermethrin","Cypermethrin","ng/l","NANOGRAM PER LITRE"
6433,"Coelosphaerm","Coelos phaerium","pres/nf","PRESENT/NOT FOUND"
4195,"Pendmeth LDW","Pendimethalin, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
6243,"Ceratopogoni","Ceratopogonidae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
1414,"Fe (III) WWt","Iron Ferric : Wet Wt :- { Iron (III) }","mg/kg","MILLIGRAM PER KILOGRAM"
7147,"SETHOXYDIM","Sethoxydim","ug/l","MICROGRAM PER LITRE"
320,"Tin Organic","Organo Tin : Total","mg/l","MILLIGRAM PER LITRE"
6053,"Co - Partic","Cobalt, Particulate","ug/l","MICROGRAM PER LITRE"
8101,"AceticAc LDW","Acetic acid, Leachable : Dry Wt :- {Ethanoic acid}","mg/kg","MILLIGRAM PER KILOGRAM"
6985,"C Org Partic","Carbon, Organic, Particulate as C","ug/l","MICROGRAM PER LITRE"
7889,"SALMONELLAE","Salmonella : Confirmed : Wet Wt","mpn/100g","Most Probable Number per 100g"
6795,"FlowTot Dy12","Flow : Total daily : Day 12","ml","MEGALITRE"
9937,"PbDialkylWWt","Lead, Dialkyl : Wet Wt","mg/kg","MILLIGRAM PER KILOGRAM"
7699,"PHAGE S.MARC","Phage : Serratia marcescens :- {Bacteriophage}","no/ml","NUMBER PER MILLILITRE"
4918,"Valve Open","Openness of Valve Aperture","%","PERCENTAGE"
3824,"BactTrace1l","Bacteriophage, 1 Litre Tracer","unitless","UNITLESS VALUE"
9557,"p-Cresol","4-Methylphenol :- {p-cresol}","mg/l","MILLIGRAM PER LITRE"
4728,"MEK","Methyl-Ethyl-Ketone :- {Butanone}","ug/m3","Micrograms per cubic metre"
3634,"RotavirsFOCI","Rotavirus : Foci","fu/10l","Foci/10l"
9367,"Heptan-1-ol","1-Heptanol :- {Heptan-1-ol}","mg/l","MILLIGRAM PER LITRE"
4538,"4BrPhPhEt LD","4-Bromophenyl phenyl ether, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
3444,"Nickel Load","Nickel : Total load","kg/d","KILOGRAM PER DAY"
9177,"N Inorg Calc","Nitrogen, Total Inorganic : (Calculated)","ug/l","MICROGRAM PER LITRE"
4158,"TrAllate LDW","Tri-allate, leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
6206,"AthripsodeSp","Athripsodes sp.","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
5112,"2EtHxDiPhPO4","2-Ethylhexyl diphenol phosphate","ug/l","MICROGRAM PER LITRE"
6016,"Manganse-Mn","Manganese : Load","kg/ann","KILOGRAM PER ANNUM"
4950,"Fe {II}","Iron, Ferrous : Total","ug/l","MICROGRAM PER LITRE"
6948,"Dichlorophen","Dichlorophen :- { Panacide}","ug/l","MICROGRAM PER LITRE"
5854,"TriClEthenLW","Trichloroethylene, Leachable : Wet Wt :- {Trichloroethene}","ug/kg","MICROGRAM PER KILOGRAM"
6758,"Catechol","Catechol","ug/l","MICROGRAM PER LITRE"
7902,"TPT as Sn","Triphenyl Tin as Sn","ng/l","NANOGRAM PER LITRE"
5664,"3ClPhn Lch","3-Chlorophenol, Leachable","ug/l","MICROGRAM PER LITRE"
4570,"12DiNBenz L","1,2-Dinitrobenzene, Leachable","ug/l","MICROGRAM PER LITRE"
7712,"TROUT TOX","Toxicity Test : Trout, 1 Day : Semistatic LC50","%","PERCENTAGE"
5474,"PCB 118 LWW","PCB - 118, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6378,"BOD5 Day ATU","OBSOLETE : SAME DET AS 0085 - THUS NOT USED","mg/l","MILLIGRAM PER LITRE"
7522,"3PHENYLTINdw","Triphenyl Tin : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6188,"Hydropsychid","Hydropsychidae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
4190,"P Tot Lch","Phosphate, Total as P, Leachable","mg/l","MILLIGRAM PER LITRE"
7332,"SGRdg","Flow : Staff gauge","m","METRE"
